,Postal Code,City,Street,Latitude,Longitude
197,1324,København K,Elsdyrsgade,55.689085000000034,12.588102204000052
198,1325,København K,Delfingade,55.68939500000005,12.588267419000033
199,1326,København K,Krokodillegade,55.68971000000005,12.58883535700005
200,1327,København K,Vildandegade,55.69061500000004,12.587466250000034
201,1328,København K,Svanegade,55.69020384600003,12.588285000000042
202,1329,København K,Timiansgade,55.68900000000008,12.58530722200004
203,1349,København K,Sølvgade 40,55.67567000000008,12.567560000000071
204,1350,København K,Øster Voldgade,55.68928000000005,12.58244178600006
205,1352,København K,Rørholmsgade,55.68974000000003,12.572405426000046
206,1353,København K,Øster Farimagsgade 1-19 + 2-2D,55.68704500000007,12.572838537000052
207,1354,København K,Ole Suhrs Gade,55.68927000000008,12.572100387000035
208,1355,København K,Gammeltoftsgade,55.68894500000005,12.571338526000034
209,1356,København K,Bartholinsgade,55.68692000000004,12.567999425000039
210,1357,København K,Øster Søgade 1 - 36,55.68822661300004,12.569150000000036
211,1358,København K,Nørre Voldgade,55.68084500000003,12.568655840000076
212,1359,København K,Ahlefeldtsgade,55.683800000000076,12.564274254000054
213,1360,København K,Frederiksborggade,55.68646913600003,12.563433942000074
214,1361,København K,Israels Plads,55.68291385800006,12.568880000000036
215,1361,København K,Linnésgade,55.68291385800006,12.568880000000036
216,1362,København K,Rømersgade,55.684930000000065,12.570007500000031
217,1363,København K,Vendersgade,55.68516000000005,12.56557418500006
218,1364,København K,Nørre Farimagsgade,55.68115000000006,12.566347789000076
219,1365,København K,Schacksgade,55.68212334300006,12.56440122600003
220,1366,København K,Nansensgade,55.682867162000036,12.564710000000048
221,1367,København K,Kjeld Langes Gade,55.68317942700003,12.563475528000026
222,1368,København K,Turesensgade,55.681340000000034,12.56368832100003
223,1369,København K,Gyldenløvesgade Lige nr,55.682165000000055,12.559138148000045
224,1370,København K,Nørre Søgade,55.68367837300008,12.562285000000031
225,1371,København K,Søtorvet,55.68589000000003,12.565129844000069
226,1400,København K,Torvegade,55.67015500000008,12.595782500000041
227,1400,København K,Knippelsbro,55.67015500000008,12.595782500000041
228,1401,København K,Strandgade,55.67693902500008,12.595326281000041
229,1402,København K,Johan Semps Gade,55.672107778000054,12.586209668000038
230,1402,København K,Asiatisk Plads,55.672107778000054,12.586209668000038
231,1402,København K,David Balfours Gade,55.672107778000054,12.586209668000038
232,1402,København K,Hammershøi Kaj,55.672107778000054,12.586209668000038
