Postal Code;City;Street
1422;Kobenhavn K;Prinsessegade
1423;Kobenhavn K;Amagergade
1424;Kobenhavn K;Christianshavns Voldgade
1425;Kobenhavn K;Ved Volden
1426;Kobenhavn K;Voldboligerne
1427;Kobenhavn K;Brobergsgade
1428;Kobenhavn K;Andreas Bjorns Gade
1429;Kobenhavn K;Burmeistersgade
1430;Kobenhavn K;Bodenhoffs Plads
1431;Kobenhavn K;Islands Plads
1432;Kobenhavn K;William Wains Gade
1432;Kobenhavn K;Margretheholmsvej
1432;Kobenhavn K;Refshalevej
1433;Kobenhavn K;Christiansholms o
1433;Kobenhavn K;Quintus
1433;Kobenhavn K;Flakfortet
1433;Kobenhavn K;Lynetten
1433;Kobenhavn K;Margretheholm
1433;Kobenhavn K;Refshaleoen
1433;Kobenhavn K;Middelgrundsfortet
1434;Kobenhavn K;Danneskiold-Samsoes Alle
1435;Kobenhavn K;Philip de Langes Alle
1436;Kobenhavn K;Halvtolv
1436;Kobenhavn K;Kuglegården
1436;Kobenhavn K;Værftsbroen
1436;Kobenhavn K;Trangravsvej
1436;Kobenhavn K;Arsenalvej
1436;Kobenhavn K;Kuglegårdsvej
1436;Kobenhavn K;Soartillerivej
1437;Kobenhavn K;Kanonbådsvej
1437;Kobenhavn K;Masteskursvej
1437;Kobenhavn K;Bohlendachvej
1437;Kobenhavn K;Stibolts Kvarter
1437;Kobenhavn K;Takkelloftsvej
1437;Kobenhavn K;Theodor Christensens Plads
1437;Kobenhavn K;Hohlenbergs Kvarter
1437;Kobenhavn K;Krabbes Kvarter
1437;Kobenhavn K;Eik Skaloes Plads
1437;Kobenhavn K;Leo Mathisens Vej
1437;Kobenhavn K;Schifters Kvarter
1437;Kobenhavn K;Per Knutzons Vej
1437;Kobenhavn K;Fabrikmestervej
1437;Kobenhavn K;Galionsvej
1438;Kobenhavn K;Judichærs Kvarter
1438;Kobenhavn K;Benstrups Kvarter
1438;Kobenhavn K;Dokovej
1438;Kobenhavn K;Judichærs Plads
1438;Kobenhavn K;Ekvipagemestervej
1438;Kobenhavn K;Orlogsværftvej
1439;Kobenhavn K;Kongebrovej
1439;Kobenhavn K;H.C. Sneedorffs Alle
1439;Kobenhavn K;A.H. Vedels Plads
1439;Kobenhavn K;Henrik Spans Vej
1439;Kobenhavn K;Takkeladsvej
1439;Kobenhavn K;Spanteloftvej
1439;Kobenhavn K;Henrik Gerners Plads
1439;Kobenhavn K;Krudtlobsvej
1439;Kobenhavn K;Bradbænken
1439;Kobenhavn K;Elefanten
1439;Kobenhavn K;Eskadrevej
1439;Kobenhavn K;P. Lovenorns Vej
1440;Kobenhavn K;Blå Karamel
1440;Kobenhavn K;Mælkevejen
1440;Kobenhavn K;Sydområdet
1440;Kobenhavn K;Psyak
1440;Kobenhavn K;Lovehuset
1440;Kobenhavn K;Tinghuset
1440;Kobenhavn K;Fredens Ark
1440;Kobenhavn K;Bjornekloen
1440;Kobenhavn K;Fabriksområdet
1440;Kobenhavn K;Nordområdet
1440;Kobenhavn K;Mælkebotten
1441;Kobenhavn K;Norddyssen
1441;Kobenhavn K;Midtdyssen
1441;Kobenhavn K;Syddyssen
1448;Kobenhavn K;Asiatisk Plads 2
1450;Kobenhavn K;Nytorv
1451;Kobenhavn K;Larslejsstræde
1452;Kobenhavn K;Teglgårdstræde
1453;Kobenhavn K;Sankt Peders Stræde
1454;Kobenhavn K;Larsbjornsstræde
1455;Kobenhavn K;Studiestræde 1-49 + 2-42
1456;Kobenhavn K;Vestergade
1457;Kobenhavn K;Gammeltorv
1458;Kobenhavn K;Kattesundet
1459;Kobenhavn K;Frederiksberggade
1460;Kobenhavn K;Mikkel Bryggers Gade
1461;Kobenhavn K;Slutterigade
1462;Kobenhavn K;Lavendelstræde
1463;Kobenhavn K;Farvergade
1464;Kobenhavn K;Hestemollestræde
1465;Kobenhavn K;Gåsegade
1466;Kobenhavn K;Rådhusstræde
1467;Kobenhavn K;Vandkunsten
1468;Kobenhavn K;Longangstræde
1470;Kobenhavn K;Stormgade 2-16
1471;Kobenhavn K;Ny Vestergade
1472;Kobenhavn K;Ny Kongensgade,  til 17 + til 16
1473;Kobenhavn K;Bryghusgade
1500;Kobenhavn V;Bernstorffsgade 40
1501;Kobenhavn V;Postboks
1502;Kobenhavn V;Postboks
1503;Kobenhavn V;Postboks
1504;Kobenhavn V;Postboks
1505;Kobenhavn V;Postboks
1506;Kobenhavn V;Postboks
1507;Kobenhavn V;Postboks
1508;Kobenhavn V;Postboks
1509;Kobenhavn V;Postboks
1510;Kobenhavn V;Postboks
1532;Kobenhavn V;Kystvejen 26, 2770 Kastrup
1533;Kobenhavn V;Kystvejen 26, 2770 Kastrup
1550;Kobenhavn V;Rådhuspladsen
1550;Kobenhavn V;Bag Rådhuset
1551;Kobenhavn V;Jarmers Plads
1552;Kobenhavn V;Vester Voldgade
1553;Kobenhavn V;Langebro
1553;Kobenhavn V;H.C. Andersens Boulevard
1554;Kobenhavn V;Studiestræde 51-69 + 46-54
1555;Kobenhavn V;Stormgade Ulige nr + 18-20
1556;Kobenhavn V;Dantes Plads
1557;Kobenhavn V;Ny Kongensgade, fra 18 + fra 19
1558;Kobenhavn V;Christiansborggade
1559;Kobenhavn V;Christians Brygge 24 - 30
1560;Kobenhavn V;Kalvebod Brygge
1561;Kobenhavn V;Kalvebod Pladsvej
1561;Kobenhavn V;Fisketorvet
1562;Kobenhavn V;Hambrosgade
1563;Kobenhavn V;Otto Monsteds Plads
1564;Kobenhavn V;Rysensteensgade
1566;Kobenhavn V;Tietgensgade 37
1567;Kobenhavn V;Polititorvet
1568;Kobenhavn V;Mitchellsgade
1569;Kobenhavn V;Edvard Falcks Gade
1570;Kobenhavn V;Kobenhavns Hovedbanegård
1570;Kobenhavn V;Banegårdspladsen
1571;Kobenhavn V;Otto Monsteds Gade
1572;Kobenhavn V;Anker Heegaards Gade
1573;Kobenhavn V;Puggaardsgade
1574;Kobenhavn V;Niels Brocks Gade
1575;Kobenhavn V;Ved Glyptoteket
1576;Kobenhavn V;Stoltenbergsgade
1577;Kobenhavn V;Bernstorffsgade
1592;Kobenhavn V;Bernstorffsgade 17-19
1599;Kobenhavn V;Rådhuspladsen 1
1600;Kobenhavn V;Gyldenlovesgade Ulige nr.
1601;Kobenhavn V;Vester Sogade
1602;Kobenhavn V;Nyropsgade
1603;Kobenhavn V;Dahlerupsgade
1604;Kobenhavn V;Kampmannsgade
1605;Kobenhavn V;Herholdtsgade
1606;Kobenhavn V;Vester Farimagsgade
1607;Kobenhavn V;Staunings Plads
1608;Kobenhavn V;Jernbanegade
1609;Kobenhavn V;Axeltorv
1610;Kobenhavn V;Gammel Kongevej 1-51 + 2-10
1611;Kobenhavn V;Hammerichsgade
1612;Kobenhavn V;Ved Vesterport
1613;Kobenhavn V;Meldahlsgade
1614;Kobenhavn V;Trommesalen
1615;Kobenhavn V;Sankt Jorgens Alle
1616;Kobenhavn V;Stenosgade
1617;Kobenhavn V;Bagerstræde
1618;Kobenhavn V;Tullinsgade
1619;Kobenhavn V;Værnedamsvej Lige nr.
1620;Kobenhavn V;Vesterbros Torv
1620;Kobenhavn V;Vesterbrogade 1-151 + 2-150
1621;Kobenhavn V;Frederiksberg Alle 1 - 13B
