,Street,Street_lat,Street_lon,Venue,Venue_Latitude,Venue_Longitude,Venue_Category
108,2100 København Ø,55.70564500000007,12.572474049000052,Nordisk Cykler,55.70729291748419,12.588653891137566,Bike Shop
109,2100 København Ø,55.70564500000007,12.572474049000052,Classens Cykler,55.69706757398961,12.583288183299604,Bike Shop
110,2100 København Ø,55.70564500000007,12.572474049000052,Lucas Cykler,55.69313166565676,12.567348315882324,Bike Shop
111,2100 København Ø,55.70564500000007,12.572474049000052,Copenhagen Bikeshop,55.69634308409584,12.550839461907742,Bike Shop
112,2100 København Ø,55.70564500000007,12.572474049000052,Pedalatleten,55.692164,12.586412,Bike Shop
113,2100 København Ø,55.70564500000007,12.572474049000052,Østerport Cykler,55.6922525411682,12.587103874025106,Bike Shop
114,2100 København Ø,55.70564500000007,12.572474049000052,heino cykler,55.71938,12.555285,Bike Shop
115,2100 København Ø,55.70564500000007,12.572474049000052,Loke Cykler,55.68745059162664,12.56183819552768,Bike Shop
116,2100 København Ø,55.70564500000007,12.572474049000052,Davinci,55.692770949999996,12.55163,Bike Shop
117,2100 København Ø,55.70564500000007,12.572474049000052,Pedal & Co. of Copenhagen,55.698523,12.542739,Bike Shop
118,2100 København Ø,55.70564500000007,12.572474049000052,Nørrebro City Cykler,55.70000185764417,12.540180684350354,Bike Shop
119,2100 København Ø,55.70564500000007,12.572474049000052,Cykelbørsen,55.685796,12.568576,Bike Shop
120,2100 København Ø,55.70564500000007,12.572474049000052,Københavns Cykelkooperativ,55.687110198306016,12.559137849370355,Bike Shop
121,2100 København Ø,55.70564500000007,12.572474049000052,Bispebjerg Cykel Center,55.71125441774282,12.537219968462079,Bike Shop
122,2100 København Ø,55.70564500000007,12.572474049000052,copenhagen bicycle store,55.72734986011694,12.576961234569273,Bike Shop
123,Vedbækgade 12,55.69671500000004,12.543885769000044,Fa. Moto-Sport Suzuki Center,55.70462130174704,12.506182137211555,Bike Shop
124,Englandsvej 94,55.652770000000025,12.601428921000036,Wecycle,55.667087,12.577283,Bike Shop
125,Englandsvej 94,55.652770000000025,12.601428921000036,Baisikeli,55.665736019305136,12.559511199250325,Bike Shop
