,Street,cph_lat,cph_lon,Venue,Venue Latitude,Venue Longitude,Venue Category
70,Kongens Nytorv,55.68045281500008,12.586210000000051,Beau Marché,55.68213000623696,12.581712868233533,Furniture / Home Store
71,Kongens Nytorv,55.68045281500008,12.586210000000051,Meyers Bageri,55.68319119741521,12.586714574742876,Bakery
72,Kongens Nytorv,55.68045281500008,12.586210000000051,Original Coffee,55.67930688941821,12.580986248949566,Coffee Shop
73,Kongens Nytorv,55.68045281500008,12.586210000000051,Kaf'Bar 9,55.680402022854324,12.581272059632044,Coffee Shop
74,Kongens Nytorv,55.68045281500008,12.586210000000051,District Tonkin,55.68354650811563,12.587580004649018,Vietnamese Restaurant
75,Kongens Nytorv,55.68045281500008,12.586210000000051,Tranquebar,55.683162886772784,12.58487972692108,Bookstore
76,Kongens Nytorv,55.68045281500008,12.586210000000051,HAY House,55.67897062177667,12.579996898708412,Furniture / Home Store
77,Kongens Nytorv,55.68045281500008,12.586210000000051,Restaurant AOC,55.68329443847229,12.589048109816558,Restaurant
78,Kongens Nytorv,55.68045281500008,12.586210000000051,Naked,55.68106599564909,12.579852640628815,Shoe Store
79,Kongens Nytorv,55.68045281500008,12.586210000000051,Vaffelbageren,55.6798201829072,12.59155179557427,Ice Cream Shop
80,Kongens Nytorv,55.68045281500008,12.586210000000051,CUB - Copenhagen Underground Brewers,55.67738015648307,12.58193773685175,Coffee Shop
81,Kongens Nytorv,55.68045281500008,12.586210000000051,42 Raw,55.68067364299045,12.580412321698027,Vegetarian / Vegan Restaurant
82,Kongens Nytorv,55.68045281500008,12.586210000000051,Restaurante l' Alsace,55.6807872488332,12.582825280964293,French Restaurant
83,Kongens Nytorv,55.68045281500008,12.586210000000051,Nyhavn 37,55.67996144124873,12.590440557966234,Scandinavian Restaurant
84,Kongens Nytorv,55.68045281500008,12.586210000000051,Charlies Bar,55.680716840681995,12.580328568344896,Bar
85,Kongens Nytorv,55.68045281500008,12.586210000000051,Ved Stranden 10 - Vinhandel & Bar,55.677262,12.58164,Wine Bar
86,Kongens Nytorv,55.68045281500008,12.586210000000051,Norse Projects,55.681149679970424,12.579448616070747,Men's Store
87,Kongens Nytorv,55.68045281500008,12.586210000000051,Restaurant Maven,55.67843052719304,12.581595802651329,Restaurant
88,Kongens Nytorv,55.68045281500008,12.586210000000051,Illum,55.67945261490145,12.580748704423305,Department Store
89,Kongens Nytorv,55.68045281500008,12.586210000000051,Illum Rooftop,55.67935599830087,12.579759033259464,Roof Deck
90,Kongens Nytorv,55.68045281500008,12.586210000000051,Sankt Annæ Plads,55.68181108978796,12.590328003710068,Plaza
91,Kongens Nytorv,55.68045281500008,12.586210000000051,Far's Dreng,55.681302,12.583495,Café
92,Kongens Nytorv,55.68045281500008,12.586210000000051,Lagkagehuset,55.68112505900513,12.582858794176326,Bakery
93,Kongens Nytorv,55.68045281500008,12.586210000000051,Generator Copenhagen,55.68283605161946,12.582453948187997,Hostel
94,Kongens Nytorv,55.68045281500008,12.586210000000051,Acne Studios,55.68176684360977,12.580482440569055,Clothing Store
95,Kongens Nytorv,55.68045281500008,12.586210000000051,A.C. Perch's Thehandel,55.680636426600636,12.579020923100323,Tea Room
96,Kongens Nytorv,55.68045281500008,12.586210000000051,Original Coffee,55.68384216596805,12.58987783383882,Coffee Shop
97,Kongens Nytorv,55.68045281500008,12.586210000000051,Nikolaj Kunsthal,55.67855761430483,12.581760149430298,Art Gallery
98,Kongens Nytorv,55.68045281500008,12.586210000000051,Acne Studios,55.68094888331762,12.580242957061868,Clothing Store
99,Kongens Nytorv,55.68045281500008,12.586210000000051,Damindra,55.67876721240542,12.590726320008645,Japanese Restaurant
100,Nyhavn,55.679770000000076,12.59220450500004,Nyhavn,55.68024653461302,12.589398459502679,Harbor / Marina
101,Nyhavn,55.679770000000076,12.59220450500004,Skuespilhuset,55.67990607173163,12.595352704620819,Theater
